trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
0	0	1	n_1.jpg	0	go	90912.0636244	91195.4716762	119295.469154	28099.9974781	0	0	n_n
1	0	1	n_14.jpg	0	go	120862.068844	121078.825888	122462.073947	1383.24805814	0	0	n_n
2	0	1	n_15.jpg	1	go	123845.361299	124328.859611	124912.2513	583.391688778	1	0	n_n
3	0	1	n_0.jpg	1	go	127012.076351	127428.751815	127862.161802	433.409987168	1	0	n_n
4	0	1	n_3.jpg	1	go	130028.799438	130512.150249	130962.136994	449.986745397	1	0	n_n
5	0	1	n_11.jpg	1	go	132812.007498	133162.183854	133562.207196	400.023342178	1	0	n_n
6	0	1	n_2.jpg	0	no-go	135845.437543	136145.536424	148795.443642	12649.9072178	1	0	n_n
7	0	1	n_12.jpg	0	no-go	150128.658212	150495.408688	151695.364936	1199.95624808	1	0	n_n
8	0	1	n_18.jpg	0	no-go	153212.114121	153678.728356	167245.460005	13566.7316494	1	0	n_n
9	0	1	n_13.jpg	0	no-go	168895.374847	169212.054006	171695.523874	2483.46986748	1	0	n_n
10	0	1	n_16.jpg	0	go	173095.372149	173545.442176	180328.771638	6783.32946252	0	0	n_n
11	0	1	n_4.jpg	0	go	181912.08855	182112.105206	183212.058111	1099.9529051	0	0	n_n
12	0	1	n_5.jpg	1	go	184862.101687	185128.650001	185578.68044	450.030438668	1	0	n_n
13	0	1	n_8.jpg	1	go	187962.090368	188212.339332	188645.429684	433.090351822	1	0	n_n
14	0	1	n_6.jpg	1	go	190562.063214	190895.529093	191278.866297	383.337204147	1	0	n_n
15	0	1	n_10.jpg	1	go	193411.953365	193845.441062	194378.632406	533.191344862	1	0	n_n
16	0	1	n_7.jpg	0	no-go	196262.03735	196645.434082	214478.784717	17833.3506347	1	0	n_n
17	0	1	n_17.jpg	1	go	215945.412441	216345.422587	217061.959406	716.536818473	1	0	n_n
0	1	1	h_15.jpg	1	go	238945.284294	239212.002102	239612.005797	400.003694867	1	0	h_n
1	1	1	h_1.jpg	1	go	241695.313618	242045.434258	242345.336374	299.902115341	1	0	h_n
2	1	1	h_4.jpg	1	go	244661.960403	245145.296258	245445.244999	299.948741047	1	0	h_n
3	1	1	h_14.jpg	1	no-go	247561.938292	247978.629298	248328.595399	349.966101058	0	0	h_n
4	1	1	h_8.jpg	1	go	250528.59534	250778.724368	251145.163125	366.438757867	1	0	h_n
5	1	1	h_10.jpg	1	go	253345.20588	253745.17204	254145.227346	400.055305712	1	0	h_n
6	1	1	h_18.jpg	1	go	256028.595927	256362.006677	257095.302651	733.29597412	1	0	h_n
7	1	1	h_13.jpg	1	no-go	259112.00609	259561.947969	259945.233269	383.285300059	0	0	h_n
8	1	1	h_12.jpg	1	go	261895.346403	262395.227053	262678.544785	283.317732782	1	0	h_n
9	1	1	h_7.jpg	1	go	264761.999521	265045.25362	265395.306521	350.052901116	1	0	h_n
10	1	1	h_17.jpg	1	go	267728.66742	268195.29749	268545.343939	350.04644976	1	0	h_n
11	1	1	h_0.jpg	1	no-go	270661.938409	271028.836973	271328.739088	299.902115341	0	0	h_n
12	1	1	h_3.jpg	1	go	273428.715746	273628.596924	273945.298369	316.701445338	1	0	h_n
13	1	1	h_5.jpg	1	no-go	276261.995123	276645.131162	276978.533994	333.402832028	0	0	h_n
14	1	1	h_16.jpg	1	go	279145.190984	279445.180192	279728.674458	283.494265331	1	0	h_n
15	1	1	h_2.jpg	1	go	282112.142155	282545.303472	282812.053537	266.7500651	1	0	h_n
16	1	1	h_11.jpg	1	no-go	284795.328397	285111.97266	285378.525666	266.553005511	0	0	h_n
17	1	1	h_6.jpg	1	go	287445.316257	287678.511942	288011.95964	333.447698274	1	0	h_n
